date,weight
2017-04-07 07:54:32,185.3
2017-04-10 07:24:54,185.7
2017-04-11 07:41:09,185.1
2017-04-12 07:38:01,186.1
2017-04-14 07:18:36,184.3
2017-04-15 10:15:37,185.4
2017-04-22 09:33:09,187.6
2017-04-23 09:54:36,187.9
2017-04-25 07:40:12,185.6
2017-04-26 07:23:02,185.7
2017-04-27 07:18:08,186
2017-04-28 07:30:08,185.8
2017-04-29 09:44:51,184.8
2017-04-30 09:12:43,184.7
2017-05-01 07:15:36,185.8
2017-05-02 07:23:11,185.7
2017-05-03 07:20:42,184.1
2017-05-14 09:05:27,187.8
2017-05-15 07:32:25,188.3
2017-05-16 07:26:08,187.8
2017-05-17 07:29:46,186.7
2017-05-18 07:00:31,186.6
2017-05-19 06:45:01,186.1
2017-05-20 08:40:47,184.1
2017-05-20 08:42:21,184.1
2017-05-21 09:18:39,184.9
2017-05-22 07:25:34,184.3
2017-05-24 18:51:20,185
2017-05-25 07:39:08,184.9
2017-05-25 07:39:57,184.7
2017-05-26 07:51:28,183.4
2017-05-27 08:55:58,183.6
2017-05-27 09:42:17,182.7
2017-05-28 08:30:23,184
2017-05-28 09:28:31,183.5
2017-05-28 09:47:33,183.3
2017-05-29 09:10:08,183.2
2017-05-30 07:40:15,185
2017-05-31 07:21:14,185.1
2017-06-01 07:00:29,182.5
2017-06-02 07:22:17,181.6
2017-06-03 07:04:22,180.3
2017-06-03 10:48:50,180.7
2017-06-05 07:06:07,181.6
2017-06-06 07:07:58,182.5
2017-06-08 07:17:58,180.6
2017-06-09 06:21:27,181.1
2017-06-10 07:35:19,179.5
2017-06-10 08:54:45,178.1
2017-06-11 07:35:04,179.3
2017-06-11 09:15:52,178.9
2017-06-12 07:12:35,182.3
2017-06-12 07:13:21,181.8
2017-06-13 07:08:02,180.2
2017-06-14 06:23:45,178.7
2017-06-14 06:26:09,178.7
2017-06-15 06:20:29,179.7
2017-06-15 20:00:54,177.9
2017-06-16 07:09:43,178.6
2017-06-17 09:06:41,178.6
2017-06-18 10:08:31,177.1
2017-06-18 10:09:27,177
2017-06-19 07:08:19,179
2017-06-19 07:09:08,178.9
2017-06-19 21:12:00,177.3
2017-06-20 07:20:07,177.3
2017-06-21 07:17:42,175.9
2017-06-22 07:37:41,175
2017-06-23 06:20:45,176.1
2017-06-23 07:20:58,176
2017-06-23 22:34:19,175.1
2017-06-24 07:21:41,174.3
2017-06-24 08:31:50,172.6
2017-06-25 07:47:29,176.6
2017-06-25 08:56:09,174.7
2017-06-26 07:25:37,174.7
2017-06-27 07:20:15,175.4
2017-06-28 07:32:02,175.4
2017-06-29 07:19:10,174.7
2017-06-30 07:31:17,173.3
2017-07-01 08:31:58,174.8
2017-07-02 07:25:22,175.7
2017-07-02 08:37:40,173.9
2017-07-03 07:45:56,174.9
2017-07-04 08:31:55,174.4
2017-07-05 07:44:57,175.1
2017-07-05 07:45:39,174.8
2017-07-06 07:44:24,175.7
2017-07-07 07:32:50,172.6
2017-07-07 07:33:31,172.5
2017-07-08 07:59:11,173
2017-07-08 09:11:39,171.6
2017-07-09 07:42:48,172.2
2017-07-09 09:06:49,172.9
2017-07-11 07:39:35,175.2
2017-07-11 07:40:32,174.5
2017-07-12 07:25:43,172.8
2017-07-13 07:22:00,175.8
2017-07-14 07:51:52,173.6
2017-07-15 07:08:16,173
2017-07-15 08:22:34,171.9
2017-07-16 08:16:01,173.2
2017-07-16 08:17:28,173.6
2017-07-16 09:40:44,171.5
2017-07-17 07:28:39,169.7
2017-07-17 07:29:32,174.2
2017-07-18 07:00:09,173.6
2017-07-19 07:07:01,174.2
2017-07-20 06:34:26,175.4
2017-07-21 07:20:41,173
2017-07-22 08:47:39,173.1
2017-07-22 08:50:35,172.9
2017-07-22 08:52:21,173.1
2017-07-22 10:08:56,170.9
2017-07-23 07:38:30,170.7
2017-07-23 07:39:24,173.5
2017-07-23 08:54:53,171.9
2017-07-23 08:55:58,171.9
2017-07-24 07:28:56,171.6
2017-07-25 06:59:45,172
2017-07-26 07:06:07,170
2017-07-26 07:07:06,170
2017-07-27 06:27:48,170.5
2017-08-01 07:48:13,171.6
2017-08-02 07:43:15,169.7
2017-08-03 07:42:35,171.3
2017-08-03 07:43:33,171.5
2017-08-04 08:16:14,168.9
2017-08-05 08:42:34,169.9
2017-08-05 09:56:31,169
2017-08-06 08:59:14,170.9
2017-08-07 07:49:45,172.8
2017-08-08 08:15:39,169.6
2017-08-09 07:06:47,169.5
2017-08-10 07:18:09,167.6
2017-08-11 07:40:21,172
2017-08-13 09:07:47,169.9
2017-08-13 14:17:59,167.8
2017-08-13 14:27:12,167.6
2017-08-14 07:51:04,169.5
2017-08-15 07:52:56,168.3
2017-08-15 07:53:43,168.3
2017-08-16 07:47:28,169.6
2017-08-16 07:48:03,169.9
2017-08-17 07:26:38,168.7
2017-08-18 07:28:57,168.2
2017-08-19 08:17:11,168.6
2017-08-20 08:39:01,168.2
2017-08-20 13:09:45,166.5
2017-08-21 07:40:14,168.8
2017-08-22 07:43:18,169.9
2017-08-23 07:53:10,171.4
2017-08-23 07:53:39,171.2
2017-08-24 07:06:25,170.1
2017-08-25 08:40:35,169.3
2017-08-30 07:16:50,167.6
2017-08-31 07:38:31,169.8
2017-09-01 07:38:28,169.5
2017-09-02 08:19:27,169.7
2017-09-02 12:25:49,169.7
2017-09-02 17:51:45,168.9
2017-09-03 08:56:25,170.8
2017-09-03 10:40:28,169
2017-09-04 08:21:33,172.1
2017-09-04 10:06:26,169.5
2017-09-05 07:35:04,171
2017-09-06 08:35:03,170.7
2017-09-07 08:13:52,171.7
2017-09-08 07:46:40,171.2
2017-09-09 07:35:42,171.7
2017-09-13 07:33:29,170.4
2017-09-15 07:33:31,171.9
2017-09-18 07:17:01,172.4
2017-09-20 07:23:07,168.3
2017-09-21 07:39:54,167
2017-09-22 07:56:35,167.8
2017-09-23 10:53:44,168.6
2017-09-24 07:57:39,169
2017-09-24 09:39:32,166.9
2017-09-25 07:34:26,168.7
2017-09-26 08:00:41,168.3
2017-09-27 07:19:58,169.5
2017-09-29 07:50:33,165.8
2017-09-30 07:50:03,166.1
2017-09-30 09:35:14,165
2017-10-01 08:45:16,167.3
2017-10-01 09:54:13,166.4
2017-10-02 07:29:12,169.3
2017-10-03 07:35:35,169.7
2017-10-04 07:35:47,167.7
2017-10-05 07:56:53,167.4
2017-10-06 07:47:47,167
2017-10-07 08:17:16,165.7
2017-10-07 09:58:07,164.4
2017-10-08 08:18:38,165.7
2017-10-08 10:48:49,164.8
