date,steps
2017-08-25,6714
2017-08-26,16467
2017-08-27,14835
2017-08-28,4608
2017-08-29,12827
2017-08-30,5798
2017-08-31,6969
2017-09-01,4393
2017-09-02,10436
2017-09-03,20980
2017-09-04,17127
2017-09-05,7189
2017-09-06,12972
2017-09-07,10590
2017-09-08,9738
2017-09-09,8681
2017-09-10,12402
2017-09-11,15636
2017-09-12,9628
2017-09-13,6208
2017-09-14,5378
2017-09-15,9226
2017-09-16,22019
2017-09-17,17755
2017-09-18,8158
2017-09-19,8601
2017-09-20,13819
2017-09-21,6945
2017-09-22,9339
2017-09-23,20813
2017-09-24,16754
2017-09-25,8291
2017-09-26,8808
2017-09-27,5442
2017-09-28,13802
2017-09-29,12783
2017-09-30,10514
2017-10-01,14316
2017-10-02,14403
2017-10-03,11965
2017-10-04,12737
2017-10-05,4258
2017-10-06,10572
2017-10-07,19774
2017-10-08,1778
2017-10-09,10106
2017-10-10,14341
2017-10-11,10829
2017-10-12,3419
2017-10-13,11849
2017-10-14,18747
2017-10-15,15624
2017-10-16,7922
2017-10-17,6654
2017-10-18,6187
2017-10-19,5523
2017-10-20,14225
2017-10-21,12382
2017-10-22,15728
2017-10-23,11250
2017-10-24,13157
2017-10-25,10607
2017-10-26,10620
2017-10-27,9550
2017-10-28,19868
2017-10-29,12800
2017-10-30,6797
2017-10-31,8280
2017-11-01,8767
2017-11-02,10699
2017-11-03,14368
2017-11-04,17600
2017-11-05,6246
2017-11-06,4534
2017-11-07,12351
2017-11-08,9176
2017-11-09,5871
2017-11-10,4513
2017-11-11,12127
2017-11-12,1597
2017-11-13,4855
2017-11-14,13376
2017-11-15,2361
2017-11-16,3795
2017-11-17,11472
2017-11-18,8302
2017-11-19,7993
2017-11-20,2576
2017-11-21,6597
2017-11-22,8034
2017-11-23,3284
2017-11-24,10490
2017-11-25,1270
2017-11-26,17066
2017-11-27,29767
2017-11-28,32531
2017-11-29,21389
2017-11-30,30311
2017-12-01,19536
2017-12-02,19814
2017-12-03,11514
2017-12-04,6993
2017-12-05,678
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,2383
2017-12-12,4098
2017-12-13,8439
2017-12-14,6631
2017-12-15,11359
2017-12-16,15755
2017-12-17,5900
2017-12-18,7289
2017-12-19,7383
2017-12-20,4166
2017-12-21,11512
2017-12-22,4502
2017-12-23,7059
2017-12-24,7649
2017-12-25,12496
2017-12-26,4879
2017-12-27,2623
2017-12-28,12910
2017-12-29,9478
2017-12-30,965
2017-12-31,10417
2018-01-01,7658
2018-01-02,7258
2018-01-03,6546
2018-01-04,7585
2018-01-05,6494
2018-01-06,5192
2018-01-07,3456
2018-01-08,7470
2018-01-09,8991
2018-01-10,8616
2018-01-11,8433
2018-01-12,10062
2018-01-13,8857
2018-01-14,5919
2018-01-15,4006
2018-01-16,9139
2018-01-17,5331
2018-01-18,6499
